ci_type,sim,meta,base,B,coverage,mean_length,mse_avg,mse_samp1
Normal,F,X,LR-IW,1000,0.06427999999999999,0.4471608668238485,10.043474233214509,10.028300203014725
ACIC,F,X,LR-IW,5000,0.27286,1.909828236736041,10.043474233214509,10.028300203014725
Percentile,F,X,LR-IW,5000,0.0645,0.44889571387389504,10.043474233214509,10.028300203014725
Basic,F,X,LR-IW,5000,0.06494,0.44889571387389504,10.043474233214509,10.028300203014725
Normal,F,X,LR-IW,5000,0.06451,0.4491850146951118,10.043474233214509,10.028300203014725
ACIC,F,X,LR-IW,10000,0.27294,1.9118416688843711,10.043474233214509,10.028300203014725
Percentile,F,X,LR-IW,10000,0.06452000000000001,0.4496108781368831,10.043474233214509,10.028300203014725
Basic,F,X,LR-IW,10000,0.06491,0.4496108781368831,10.043474233214509,10.028300203014725
Normal,F,X,LR-IW,10000,0.06458,0.4497214289531005,10.043474233214509,10.028300203014725
ACIC,E,S,RF,100,0.8999799999999999,1.4393599670613204,0.014984814452336856,0.02136117087318073
Percentile,E,S,RF,100,0.9434600000000001,0.3983791257389221,0.014984814452336856,0.02136117087318073
Basic,E,S,RF,100,0.79599,0.3983791257389221,0.014984814452336856,0.02136117087318073
Normal,E,S,RF,100,0.9548200000000001,0.4129089582427773,0.014984814452336856,0.02136117087318073
ACIC,E,S,RF,1000,0.8999799999999999,1.422637721916225,0.014984814452336856,0.02136117087318073
Percentile,E,S,RF,1000,0.9582700000000001,0.4073887143927277,0.014984814452336856,0.02136117087318073
Basic,E,S,RF,1000,0.80537,0.4073887143927277,0.014984814452336856,0.02136117087318073
Normal,E,S,RF,1000,0.95785,0.4089577143799501,0.014984814452336856,0.02136117087318073
ACIC,E,S,RF,5000,0.8999799999999999,1.416803634185453,0.014984814452336856,0.02136117087318073
Percentile,E,S,RF,5000,0.95793,0.4071338977728133,0.014984814452336856,0.02136117087318073
Basic,E,S,RF,5000,0.8044600000000001,0.4071338977728133,0.014984814452336856,0.02136117087318073
Normal,E,S,RF,5000,0.9566,0.4073001442683968,0.014984814452336856,0.02136117087318073
ACIC,E,S,RF,10000,0.8999799999999999,1.4155294367599047,0.014984814452336856,0.02136117087318073
Percentile,E,S,RF,10000,0.95806,0.4068699170921128,0.014984814452336856,0.02136117087318073
Basic,E,S,RF,10000,0.80376,0.4068699170921128,0.014984814452336856,0.02136117087318073
Normal,E,S,RF,10000,0.95655,0.4068667327045653,0.014984814452336856,0.02136117087318073
ACIC,E,T,RF,100,0.8999799999999999,1.4387616221560506,0.015387089286414857,0.020371025930163298
Percentile,E,T,RF,100,0.94606,0.3979584900832696,0.015387089286414857,0.020371025930163298
Basic,E,T,RF,100,0.80066,0.3979584900832696,0.015387089286414857,0.020371025930163298
Normal,E,T,RF,100,0.95667,0.41263071992926464,0.015387089286414857,0.020371025930163298
ACIC,E,T,RF,1000,0.8999799999999999,1.4236662771951556,0.015387089286414857,0.020371025930163298
Percentile,E,T,RF,1000,0.9585,0.4076837752055341,0.015387089286414857,0.020371025930163298
Basic,E,T,RF,1000,0.81177,0.4076837752055341,0.015387089286414857,0.020371025930163298
Normal,E,T,RF,1000,0.95865,0.4093868498183935,0.015387089286414857,0.020371025930163298
ACIC,E,T,RF,5000,0.8999799999999999,1.4172071513874311,0.015387089286414857,0.020371025930163298
Percentile,E,T,RF,5000,0.9581200000000001,0.4072129088835754,0.015387089286414857,0.020371025930163298
Basic,E,T,RF,5000,0.81171,0.4072129088835754,0.015387089286414857,0.020371025930163298
Normal,E,T,RF,5000,0.9567399999999999,0.4074530516766968,0.015387089286414857,0.020371025930163298
ACIC,E,T,RF,10000,0.8999799999999999,1.4163649004450012,0.015387089286414857,0.020371025930163298
Percentile,E,T,RF,10000,0.9582799999999999,0.4071014062436885,0.015387089286414857,0.020371025930163298
Basic,E,T,RF,10000,0.81135,0.4071014062436885,0.015387089286414857,0.020371025930163298
Normal,E,T,RF,10000,0.95668,0.4071351372917537,0.015387089286414857,0.020371025930163298
