ci_type,coverage,mean_length
paper,0.39815,1.533976238099864
percentile,0.09592,0.4256636796782876
basic,0.09608,0.4256636796782876
normal,0.09623,0.4271284671185098
studentized,0.11579,0.5184941237224702
