simulation,trial,n,T_mse,S_mse,X_mse
simB,4,100000,3414.4724859646367,4296.071634400466,5335.373634867254
simB,5,5000,1668.964772703458,1191.6562108380394,1138.4969750291561
simB,5,10000,1808.3523666789222,1172.4589405976872,1244.6077349293298
simB,5,20000,2037.393772036359,1180.770329093717,1317.6222989248436
simB,5,100000,2397.563086838804,1260.9144392155993,1545.9702311650776
simB,6,5000,7144.3674432409425,2636.313246643343,4567.868507616873
simB,6,10000,7554.176290902058,2779.2259885219846,4596.136194269595
simB,6,20000,7387.383301203464,2911.2892855833547,4726.882308645616
simB,6,100000,7512.8367738640045,3499.0423197841674,4855.399136369441
simB,7,5000,2511.868980625539,2061.078923478256,1826.8088461660993
simB,7,10000,2876.11581697635,2057.1733136917474,1800.2828608877933
simB,7,20000,3155.6575953511674,2039.3328146007755,1744.0518114856902
simB,7,100000,3708.6589764413675,1996.8424475719178,1698.1650631528612
simB,8,5000,2562.9338429383515,1680.1044113681644,1843.898029046905
simB,8,10000,2888.904468091769,1763.9218108072823,1920.0873616356469
simB,8,20000,3249.608050358413,1915.2557159164544,2024.8745127609002
simB,8,100000,3510.9898605336894,2024.8949979671365,2036.1725962279454
simB,9,5000,3220.5324115467615,2274.550512975352,2104.9009224573842
simB,9,10000,3370.159468504822,2318.732241584871,2114.061127217311
simB,9,20000,3660.2374954685406,2333.3860021298906,2057.2937524941294
simB,9,100000,3841.2869840240924,2664.8386603002245,2013.5453903724917
simC,0,5000,0.01708314111031023,0.017340626330868844,0.019742000357374015
simC,0,10000,0.019600841033472094,0.01971383131002217,0.020864392864563288
simC,0,20000,0.01108222996996577,0.011203654718258984,0.011861662369139932
simC,0,100000,0.004143871526764413,0.004035540410304163,0.0035239141069863893
simC,1,5000,0.026352351475868986,0.026671251303620015,0.027615450683135496
simC,1,10000,0.010876770112315009,0.011179531012534851,0.010314725675331267
simC,1,20000,0.012657404279974435,0.012831436294092575,0.013144575989084957
simC,1,100000,0.0032084858141297697,0.00318283181726237,0.0032324720690030573
simC,2,5000,0.02581374937677009,0.026307999828229737,0.03504081621796154
simC,2,10000,0.026392903560033598,0.02627336298903454,0.02476941402620796
simC,2,20000,0.01869742206192181,0.01823630915516766,0.01777769414616309
simC,2,100000,0.0038624424993572376,0.00387110874143973,0.0038265330699430514
simC,3,5000,0.02880709107894613,0.027287851421194456,0.02773193459065705
simC,3,10000,0.017093683971506294,0.015686586266811763,0.015968172051020756
simC,3,20000,0.008936053928055413,0.008665425896578928,0.00937232447956445
simC,3,100000,0.004126214754702487,0.004029395444251749,0.003601338630120433
simC,4,5000,0.013394683457257913,0.013006816676158247,0.011798260274305373
simC,4,10000,0.010483910168211671,0.01019865107078103,0.00958474167976242
simC,4,20000,0.009174106686037183,0.0087944084896584,0.008348144321774869
simC,4,100000,0.0034394339821321087,0.0034270102783904503,0.003120981971131353
simC,5,5000,0.017852256267168166,0.017557122870428356,0.021805455364009116
simC,5,10000,0.011779955696376269,0.01160157709887909,0.014704111898272278
simC,5,20000,0.007847934853427418,0.007814474937986366,0.008419254962267298
simC,5,100000,0.003958057279500146,0.003877597451572125,0.004020029913282442
simC,6,5000,0.03443941476955622,0.03425266191500423,0.04457499467127451
simC,6,10000,0.019441967797248424,0.020424508308324624,0.024238578758486746
simC,6,20000,0.015922693740463286,0.01598373928835822,0.01688252996100667
simC,6,100000,0.004746998783426048,0.004833895295120401,0.0048755532353153015
simC,7,5000,0.03094227956818587,0.03169630984828488,0.03399692008560783
simC,7,10000,0.021401573933486743,0.022066241932183817,0.019832321793505543
simC,7,20000,0.011533341685354742,0.010958200703616845,0.011232815421299586
simC,7,100000,0.004250925626890485,0.004098623922770587,0.004429876698523631
simC,8,5000,0.04116307255463869,0.04014957496029908,0.05085998905901684
simC,8,10000,0.025668858348143943,0.025254268791254236,0.02837847147433143
simC,8,20000,0.013576729315467035,0.013780145975853565,0.015113310381069778
simC,8,100000,0.0039998802121470065,0.00402825942230382,0.003905328837421425
simC,9,5000,0.023409763089851827,0.022574971169979766,0.023565567800346767
simC,9,10000,0.009043891058517155,0.009042071786479883,0.00892124222058059
simC,9,20000,0.010111266802007884,0.010393101458950244,0.010719258401515568
simC,9,100000,0.003537308954020483,0.0035039218156550315,0.0029734631532439475
simD,0,5000,0.02840457178112926,0.00016647519711748704,0.00387353398291047
simD,0,10000,0.009746482847811096,6.884728073583554e-05,0.0008024758131638319
simD,0,20000,0.008330858501072125,0.00010096204652570881,0.0008782721201634572
simD,0,100000,0.003482715715648318,0.0001383505417427392,0.0002972730533906411
simD,1,5000,0.022833923473631626,0.0001598000851549008,0.006546877638698173
simD,1,10000,0.011406834066645385,0.00011951673858776564,0.0033454809762227477
simD,1,20000,0.006287517321776434,8.762330083194982e-05,0.0012747656198929336
simD,1,100000,0.004103763973512943,0.00016482829685370088,0.00029971691611729585
simD,2,5000,0.017880670620842427,0.00011658108411016389,0.0015931365525200943
simD,2,10000,0.016437615380184994,0.00019471784072509483,0.002233691147738936
simD,2,20000,0.0071664163635974274,8.357372673536786e-05,0.000769583324288116
simD,2,100000,0.0029495653902302603,0.00010515982742357231,0.0002757963439549026
simD,3,5000,0.023030001675505264,0.0001387217472754536,0.003501251691344111
simD,3,10000,0.01664932688260542,0.00013651221329429573,0.002215248525161912
simD,3,20000,0.00954644031794677,0.00012192491642361906,0.0007927305762650605
simD,3,100000,0.003361152724794683,0.00010255418629992821,0.00017168769083110983
simD,4,5000,0.007978046075425457,4.72831650380647e-05,0.0007145289204931251
simD,4,10000,0.0067240851013862495,5.7900953891296245e-05,0.0007034130247065157
simD,4,20000,0.006296960392196403,8.203854792273907e-05,0.000544247959612787
simD,4,100000,0.002486960300936666,0.00010642473584534102,0.00020979796957770223
simD,5,5000,0.011899104419183243,6.634781160236034e-05,0.0019306314516546919
simD,5,10000,0.0076899774730428555,5.9704034825566025e-05,0.001458942357719112
simD,5,20000,0.008454230690480775,8.332078684258963e-05,0.0009565013206182964
simD,5,100000,0.0031142349853291304,0.0001317298646182462,0.0003251752342043997
simD,6,5000,0.022322229554887555,9.160039392713187e-05,0.0006200941033323357
simD,6,10000,0.014207298977136618,7.474520342405263e-05,0.0005046035559196412
simD,6,20000,0.007127754972570273,7.518528246423242e-05,0.0004912267102428669
simD,6,100000,0.002463393914430883,0.00010503117709932737,0.00022976700675096957
simD,7,5000,0.0132846729502134,6.855568049714936e-05,0.0030632336111877864
simD,7,10000,0.010205841686422757,6.858272482628986e-05,0.0007568958993218412
simD,7,20000,0.0063602564068590585,8.305280612664352e-05,0.0005677003086070108
simD,7,100000,0.0037647322177510453,0.00014082289273565035,0.00026294089099289136
simD,8,5000,0.013699434931765477,8.227528549658307e-05,0.0018467967994724235
simD,8,10000,0.010185859108146303,7.166491868486106e-05,0.0006952881347344193
simD,8,20000,0.008009235389347233,9.026822807356097e-05,0.0007016940579521811
simD,8,100000,0.0037287786269469938,0.0001244486712033679,0.0002725296940280709
simD,9,5000,0.015253531285666606,7.736977189400341e-05,0.0007383352653607412
simD,9,10000,0.0066399607258682105,5.083201092612418e-05,0.0006491706852880199
simD,9,20000,0.004681800102366121,6.336916180869063e-05,0.0003425170511683835
simD,9,100000,0.0029605134028237437,0.0001156629888753439,0.0002708136954546489
simE,0,5000,0.05545545945396122,0.05565747935221915,0.03326253886205158
simE,0,10000,0.01745698512240387,0.01644121208263614,0.010093777905833656
simE,0,20000,0.016616148581335755,0.016338228772574324,0.004540093480529167
simE,0,100000,0.007063343712568672,0.006718040684287829,0.003633516387013654
simE,1,5000,0.03224899495778747,0.03358489769879985,0.02088327116225197
simE,1,10000,0.01662035147047367,0.016055683385691362,0.009768291898827788
simE,1,20000,0.011296993960494196,0.011265725528229534,0.005710032863215437
simE,1,100000,0.0047320532216870706,0.004701713188105623,0.0008412875594912726
simE,2,5000,0.03538017564692603,0.036407063414955636,0.027081149419419272
simE,2,10000,0.033945167837423754,0.03365018261611378,0.014407642129288127
simE,2,20000,0.013925602944616514,0.013736126369126987,0.006004517579207727
simE,2,100000,0.00644497539622735,0.00630491288728799,0.00227055599743113
simE,3,5000,0.06048671725314548,0.06270288709782283,0.04191329052516596
simE,3,10000,0.02349995551225478,0.023631821534030754,0.011833852135632634
simE,3,20000,0.015003937688012513,0.014698067518111521,0.005663572053012716
simE,3,100000,0.00399619096780605,0.003933727725641264,0.0006186914848201978
simE,4,5000,0.020449317161079287,0.019610154547982667,0.01106497807616708
simE,4,10000,0.012738446254234686,0.01234423742454604,0.0051370447218322245
simE,4,20000,0.015389729248967856,0.013966477309857134,0.005257269069602335
simE,4,100000,0.004326210927759069,0.004160519646726831,0.0014566814494316712
simE,5,5000,0.022172460858699655,0.022161250771357163,0.022520223216385735
simE,5,10000,0.014541079712590844,0.013771296456123532,0.007254123746885043
simE,5,20000,0.011553227506532721,0.011023518884949022,0.003231920468236676
simE,5,100000,0.003993078103426296,0.003782573349077056,0.000994479206358116
simE,6,5000,0.03994661036161425,0.037971645454192855,0.025501162577224103
simE,6,10000,0.025492424856430315,0.025104894126866464,0.015078576572313795
simE,6,20000,0.009988602145959575,0.009700826828118675,0.003180225567184699
simE,6,100000,0.0030809742959392924,0.0029849794349036955,0.0008020017420003816
simE,7,5000,0.03103469081013797,0.029361511927763696,0.016040252112508056
simE,7,10000,0.017421275467818756,0.016430512154063357,0.006615825640529597
simE,7,20000,0.010694301200024547,0.010242842532175212,0.0038157140540961724
simE,7,100000,0.004946585315426639,0.004625802200537003,0.0010067506677687414
simE,8,5000,0.030745281282455267,0.03170452381073435,0.01643885712157949
simE,8,10000,0.01815574136337253,0.018577302940800552,0.009772164079933946
simE,8,20000,0.01315284789090073,0.012725301977243891,0.0035477730932515516
simE,8,100000,0.0049144652803361916,0.004841753864826645,0.0007352047368629184
simE,9,5000,0.035434869354757204,0.036790067986365034,0.024653150807138594
simE,9,10000,0.013557399479750565,0.01269527093776606,0.007044604635618102
simE,9,20000,0.008193775108166872,0.007860333160511303,0.003319122295609879
simE,9,100000,0.0036048533000407486,0.0034902934368187324,0.0004765843315544135
simF,0,5000,6.013827676038268,6.02457483913216,5.74473328123485
simF,0,10000,5.967053488456536,5.962713866998128,5.796175044588915
simF,0,20000,5.9018182348328105,5.902769927796908,5.769986705166057
simF,0,100000,5.873004622909032,5.876843337511265,5.816982125660808
simF,1,5000,6.011200194361092,6.012347649550025,5.763736317878054
simF,1,10000,5.91115037027725,5.91177740259056,5.721716197845094
simF,1,20000,5.865438352232786,5.8695175048535075,5.727815231348154
simF,1,100000,5.836950054545078,5.840053767701525,5.787242530717543
simF,2,5000,6.007514549035696,6.005047402095621,5.764858077168193
simF,2,10000,5.855181924282497,5.861314445376293,5.682375494215409
simF,2,20000,5.824757524855557,5.828332123084697,5.696200095710595
simF,2,100000,5.793523411184416,5.795562113407098,5.738432752097336
simF,3,5000,6.083414501505571,6.068718824531532,5.864184289379393
simF,3,10000,5.8385639628404755,5.830220049556401,5.637148940495813
simF,3,20000,5.8111628080752205,5.804590117842361,5.674691731527448
simF,3,100000,5.772429825926326,5.772794786130961,5.716062408863851
simF,4,5000,6.074113673620097,6.0641094581845625,5.802574977379244
simF,4,10000,5.936390551876818,5.937493260119058,5.72446430645866
simF,4,20000,5.93248775589893,5.930692860102909,5.792063321509517
simF,4,100000,5.8569973497728665,5.85639005351273,5.798296092117003
simF,5,5000,6.012719670496858,6.009742515254631,5.749512347735063
simF,5,10000,5.944514664792887,5.944065213641125,5.799279525456901
simF,5,20000,5.943553713322067,5.941445386774257,5.793789015321032
simF,5,100000,5.851343275028865,5.8487148422532504,5.790035046471929
simF,6,5000,6.186343609867121,6.1759149020593895,5.915760159788038
simF,6,10000,6.021629719460513,6.024389905382657,5.800719824620945
simF,6,20000,5.9013079713223195,5.901507565313103,5.770001904957796
simF,6,100000,5.789444322471969,5.790076423031903,5.736090869873861
simF,7,5000,6.012910338960506,6.008322127177006,5.808815654149645
simF,7,10000,5.954578066373127,5.959173474943186,5.80768009856557
simF,7,20000,5.902630539409791,5.905227249547831,5.788345682621038
simF,7,100000,5.799985486258136,5.799411171587516,5.748309219759421
simF,8,5000,6.042535398668853,6.035331773007195,5.762851997077252
simF,8,10000,6.00047783502364,5.999122712497067,5.789300930611878
simF,8,20000,6.020537331458911,6.019410268212893,5.877314833038202
simF,8,100000,5.904853008871529,5.904528606181428,5.847448785233173
simF,9,5000,6.067021858796401,6.062323802550782,5.8166615893488665
simF,9,10000,5.967605500289933,5.961057091720665,5.768892648222759
simF,9,20000,5.918978558051707,5.9186086641107325,5.802854321129207
simF,9,100000,5.7885131401957,5.789663902128805,5.730515741340396
