simulation,trial,n,T_mse,S_mse,X_mse
simC,4,300000,0.004270407143696563,0.004335496459911729,0.0022105192355636374
simC,5,5000,0.022274751475185466,0.022336533891612574,0.025111092475482502
simC,5,10000,0.015074334558568363,0.014804748646032146,0.015815520218066852
simC,5,20000,0.010992392392520815,0.011393073151214064,0.010125689377350594
simC,5,100000,0.006179746162167948,0.0063679944538154315,0.0046876112754960135
simC,5,300000,0.005630783340932934,0.005413527267722967,0.0037982366617088674
simC,6,5000,0.0374781509840245,0.03800835219080063,0.046957651742265655
simC,6,10000,0.023202757146115423,0.026132968849604435,0.028155809679201366
simC,6,20000,0.02623398966867067,0.023785169397112216,0.02159791343121311
simC,6,100000,0.00798698903232236,0.00757979398713323,0.006322645967297284
simC,6,300000,0.005454660579921682,0.005522715070168508,0.0032171403716005098
simC,7,5000,0.039623213616995334,0.03217104454266564,0.045538339103810624
simC,7,10000,0.02572533194939129,0.02154215139072196,0.028628902563019656
simC,7,20000,0.01547711829497193,0.016940745813320467,0.01313990836115961
simC,7,100000,0.006748432613704393,0.0074952527074218156,0.005388301567387184
simC,7,300000,0.004735865191801689,0.0048000189771400205,0.0027937343075470802
simC,8,5000,0.04372231448251514,0.04276230394369041,0.055896100392298295
simC,8,10000,0.03148792053486294,0.02870932281346621,0.030907739588615247
simC,8,20000,0.022013631710295235,0.021146931724242528,0.017406049075601292
simC,8,100000,0.00686310221600233,0.006173694793346806,0.005187994043260969
simC,8,300000,0.005005733436091796,0.004958652070211175,0.00291929608861883
simC,9,5000,0.026073870334159,0.03033338675511894,0.023960377838159488
simC,9,10000,0.01674228064911971,0.014649192791861082,0.012459447760616452
simC,9,20000,0.0184856286925665,0.018079752482416916,0.013669231047116839
simC,9,100000,0.006117162006908354,0.006136926672925098,0.0041136656059142475
simC,9,300000,0.004869191397236229,0.004795871613300437,0.0026977730864786707
simD,0,5000,0.027894588678608074,0.00010017924218793574,0.005469877074976806
simD,0,10000,0.01010302388061027,9.329886309049259e-05,0.0017730332514814397
simD,0,20000,0.008930131210401284,0.0001045849879903521,0.0012889610530143593
simD,0,100000,0.004822814197789358,0.0001269320376142511,0.0009141518609267701
simD,0,300000,0.003930598458977884,0.00012588110583281684,0.0008288652326913744
simD,1,5000,0.01927107845152117,9.18141062190386e-05,0.005990804109120223
simD,1,10000,0.01349094291315948,0.00010866069290665925,0.004444123310508999
simD,1,20000,0.007869744471889565,9.97115209998784e-05,0.001904291585296905
simD,1,100000,0.005457510568469873,0.00013469131127255338,0.00099365050293782
simD,1,300000,0.0041126616904560345,0.0001332320163471498,0.0008726104691575488
simD,2,5000,0.02434120077955119,7.657955530551776e-05,0.0023567034709417608
simD,2,10000,0.018172575057414084,0.00014990743447032938,0.0024484991132271055
simD,2,20000,0.008461767868595597,0.00010314713663723772,0.0011112660944817513
