simulation,trial,n,T_mse,S_mse,X_mse
simB,3,5000,2882.2102775065678,1653.491360825836,1994.2151414345599
simB,3,10000,3015.414550635471,1609.96388028599,2129.9494690500296
simB,3,20000,3062.5928318642746,1590.0378305938357,2237.032453283683
simB,3,100000,3206.568523486432,1625.528546804855,2470.969101021427
simB,3,300000,3343.9840418481367,1866.466647974842,2622.2886408931413
simB,4,5000,3332.41724103928,5226.821773893791,5243.364458866373
simB,4,10000,3052.1499455825324,5221.142085650224,5061.971418338172
simB,4,20000,3119.986379392297,5158.400202901808,5051.952766982105
simB,4,100000,3161.1244547937526,4617.68246662377,5090.227772079677
simB,4,300000,3429.8509479660584,4226.679915124486,5196.89338577012
simB,5,5000,1458.3820325396553,1220.478728639176,1122.9123400187784
simB,5,10000,1607.1798032425747,1191.9211478016653,1177.9418632135378
simB,5,20000,1788.891611708321,1170.4799588313892,1241.5406300923257
simB,5,100000,2156.2867224163106,1204.6795373660366,1556.3878286881852
simB,5,300000,2389.2110298034036,1304.3954101319175,1663.8977814003713
simB,6,5000,6825.92659296642,2599.52935637815,4616.913405100639
simB,6,10000,7092.709407816156,2663.6433737488287,4740.014534016596
simB,6,20000,7281.398520109917,2769.086963384757,4870.197334155471
simB,6,100000,7356.649117950564,3170.2810768073364,4960.7285367097165
simB,6,300000,7618.361505509266,3769.6711396326364,5026.202329498229
simB,7,5000,2314.174979868779,2058.6027701989224,1873.5116651186825
simB,7,10000,2546.2570744498817,2058.1015012917615,1858.6190161777124
simB,7,20000,2708.0807119540523,2043.7194343608785,1800.3367824396657
simB,7,100000,3514.158825416134,2010.705215996611,1748.0999247100597
simB,7,300000,3653.688069779273,1980.8250397419743,1710.47420055374
simB,8,5000,2151.21794693553,1601.5048318727772,1804.6863787289665
simB,8,10000,2502.3728247588106,1654.2903818731195,1912.9198611301945
simB,8,20000,2909.017762010319,1796.6107778111627,2052.1468349132933
simB,8,100000,3260.267068426755,1952.5167592038715,2069.878782554979
simB,8,300000,3433.592024940501,2156.4051203492495,2109.6158737894757
