simulation,trial,n,T_mse,S_mse,X_mse
simB,2,300000,3143.8375534448205,2627.712552299786,2982.107397178292
simB,3,5000,6202.081364884581,1632.636079383586,2223.9500567499513
simB,3,10000,5282.0000797718285,1604.8262114389393,2263.4420092060054
simB,3,20000,4652.254862342971,1565.246318782897,2203.326847317265
simB,3,100000,3490.4200514548975,1600.5800195049264,2406.639734011234
simB,3,300000,3340.814295983483,1779.1880713393991,2551.7935794399486
simB,4,5000,2958.693861324072,5095.913074212321,4983.24732183043
simB,4,10000,2783.966926020765,4868.970834128954,4981.2703746962015
simB,4,20000,2694.3584610022845,4721.474510585873,4904.08701479066
simB,4,100000,2775.209441332312,4086.516245855257,5207.743423386109
simB,4,300000,2995.36861696683,3875.3710125287103,5239.623091785139
simB,5,5000,1483.2649793596345,1199.1371904420248,1167.1398514904008
simB,5,10000,1258.7669683324104,1178.208114493782,1207.4910453230261
simB,5,20000,1415.9565964030098,1174.5432849781312,1230.594221955517
simB,5,100000,1659.8533838057456,1200.43019691373,1494.6622999244632
simB,5,300000,1762.8238031985784,1281.8045787850128,1634.7895373072943
simB,6,5000,6585.309699459643,2629.767127677566,4965.433007843843
simB,6,10000,6507.21190551999,2745.07505117674,5014.921127966314
simB,6,20000,6467.78939692722,2892.83559044935,5121.232172550251
simB,6,100000,6757.621985762497,3487.886896720255,5217.098055371618
simB,6,300000,6971.045030479572,4025.041844914065,5390.975313815755
simB,7,5000,2849.9046308703287,2057.390754734821,1891.669042305223
simB,7,10000,2652.315704818379,2052.7900106618154,1888.3914141241012
simB,7,20000,2795.0529252698507,2037.3816220188735,1876.201742878201
simB,7,100000,2791.743009611451,1980.0940667023897,1820.7725051902305
simB,7,300000,2778.478584303649,1928.0181664582265,1743.6610187045626
simB,8,5000,1470.966465484872,1621.1833435688714,1528.5693308045552
simB,8,10000,1547.3490665668555,1650.2714635757718,1621.036325035032
simB,8,20000,1711.625810751908,1752.2142196111365,1865.6108422098218
simB,8,100000,1841.4478336846848,1926.7240690422386,2005.5955296253871
simB,8,300000,2133.705582340009,2070.736235656416,2052.6321208349004
simB,9,5000,4411.173467168231,2124.7196783823465,2224.484098815668
simB,9,10000,3941.4890436261235,2078.286999461533,2217.402880917634
simB,9,20000,4001.9103649608755,2080.57855538807,2170.3787800504633
simB,9,100000,4174.234296809074,2236.1702676968885,2132.7162660644362
simB,9,300000,4198.882544397492,2400.3062196236356,2103.692450216887
simC,0,5000,0.8951972848022255,1.4540238934049794,0.6691885521505351
simC,0,10000,0.8428893166259005,1.399964630549096,0.5630852298794127
simC,0,20000,0.8008682627455417,1.3576238485784464,0.5082018861236389
simC,0,100000,0.6676186045585014,1.2538634512415527,0.36246743375614277
simC,0,300000,0.6118865530672059,1.1811724645927622,0.30668346936958574
simC,1,5000,0.8990705285541041,1.2907295708567272,0.6868029039682558
simC,1,10000,0.7922321773600836,1.265613046766146,0.5489424978923289
simC,1,20000,0.771366222338195,1.240857314345798,0.480687629047729
simC,1,100000,0.6858901307073088,1.1604335106738586,0.37296118721028987
simC,1,300000,0.5803682956278731,1.0854137609521348,0.31351037225556616
simC,2,5000,0.9320231908212501,1.4332054253785764,0.7395685309824069
simC,2,10000,0.8711257940815235,1.3948086691499262,0.5978924763122553
simC,2,20000,0.8298471288307951,1.3684077536877313,0.5348051426668615
simC,2,100000,0.6608310389636648,1.2607584803909997,0.38661166501809324
simC,2,300000,0.590930068562703,1.180007274196641,0.3185780132230482
simC,3,5000,0.8392437178978084,1.3712433683075667,0.6311151007320234
simC,3,10000,0.7768494181429708,1.3342068955031197,0.5377739310595975
simC,3,20000,0.7246629309147804,1.3229606359647677,0.4817649505614072
simC,3,100000,0.6149087494346297,1.2016826575720587,0.3489324305201059
simC,3,300000,0.5566601082975997,1.1042490656825534,0.29999368274333676
simC,4,5000,0.6972015972285077,1.061135803934556,0.5146614552490142
simC,4,10000,0.6532043006456784,1.0325330148291179,0.4518156058129789
simC,4,20000,0.585000085873218,0.9809815319531972,0.3773662163219458
simC,4,100000,0.5027752737423136,0.8945474027364313,0.2869330571208935
simC,4,300000,0.4261823477402721,0.8298734163555228,0.23200875578682081
simC,5,5000,0.5887634962203967,0.7820647239868208,0.4593346412779203
simC,5,10000,0.5501127370802679,0.7594762835922308,0.38814575709948995
simC,5,20000,0.5410358343384544,0.7462087692723345,0.3363904246859128
simC,5,100000,0.464899585933142,0.7159395167717897,0.25468866801344664
simC,5,300000,0.4235221928682804,0.6771608095975435,0.21373336720629865
simC,6,5000,0.9598710522770406,1.4272987303840732,0.7511668300577272
simC,6,10000,0.8942587611727296,1.4024187639848884,0.6353159497110581
simC,6,20000,0.831436628499869,1.3659458398718578,0.5867261795831664
simC,6,100000,0.7030986424414185,1.2774310077929336,0.4095704068432212
simC,6,300000,0.6317171975756283,1.1956648616141496,0.33952468044516537
simC,7,5000,0.9500972497760364,1.4168571206840073,0.7383990347586866
simC,7,10000,0.9199179853056162,1.389940962332889,0.6308544527447255
simC,7,20000,0.87015491277995,1.3679367247097323,0.5580406449252004
simC,7,100000,0.7169088842384922,1.2696571441618705,0.40957369793989135
simC,7,300000,0.6473060005074085,1.2051031673144852,0.3438517642157054
simC,8,5000,0.879251641734114,1.3002129602188417,0.6875343422938682
simC,8,10000,0.8114921753438689,1.2687441720830537,0.5719315740042807
simC,8,20000,0.7612502117695032,1.2499362308527013,0.5019043124347857
